time,x1,x2
2.4921875,226,NaN
2.49609375,197,NaN
2.5,47,NaN
2.50390625,-81,NaN
2.5078125,-193,NaN
2.51171875,-136,NaN
2.515625,52,NaN
2.51953125,188,NaN
2.5234375,227,NaN
2.52734375,202,NaN
2.53125,117,NaN
2.53515625,74,NaN
2.5390625,-9,NaN
2.54296875,-117,NaN
2.546875,-165,NaN
2.55078125,-166,NaN
2.5546875,-93,NaN
2.55859375,23,NaN
2.5625,103,NaN
2.56640625,39,NaN
2.5703125,32,NaN
2.57421875,20,NaN
2.578125,2,NaN
2.58203125,-4,NaN
2.5859375,-24,NaN
2.58984375,74,NaN
2.59375,41,NaN
2.59765625,83,NaN
2.6015625,102,NaN
2.60546875,-5,NaN
2.609375,-74,NaN
2.61328125,-35,NaN
2.6171875,61,NaN
2.62109375,93,NaN
2.625,146,NaN
2.62890625,70,NaN
2.6328125,-10,NaN
2.63671875,-1,NaN
2.640625,-1,NaN
2.64453125,32,NaN
2.6484375,31,NaN
2.65234375,-3,NaN
2.65625,15,NaN
2.66015625,106,NaN
2.6640625,165,NaN
2.66796875,98,NaN
2.671875,46,NaN
2.67578125,-49,NaN
2.6796875,-78,NaN
2.68359375,-65,NaN
2.6875,-1,NaN
2.69140625,-62,NaN
2.6953125,-109,NaN
2.69921875,20,NaN
2.703125,122,NaN
2.70703125,146,NaN
2.7109375,159,NaN
2.71484375,153,NaN
2.71875,43,NaN
2.72265625,-6,NaN
2.7265625,39,NaN
2.73046875,-41,NaN
2.734375,-93,NaN
2.73828125,-89,NaN
2.7421875,-110,NaN
2.74609375,-42,NaN
2.75,10,NaN
2.75390625,-42,NaN
2.7578125,0,NaN
2.76171875,34,NaN
2.765625,20,NaN
2.76953125,73,NaN
2.7734375,134,NaN
2.77734375,74,NaN
2.78125,-1,NaN
2.78515625,4,NaN
2.7890625,-82,NaN
2.79296875,-65,NaN
2.796875,-62,NaN
2.80078125,-95,NaN
2.8046875,-58,NaN
2.80859375,-93,NaN
2.8125,-10,NaN
2.81640625,91,NaN
2.8203125,111,NaN
2.82421875,84,NaN
2.828125,30,NaN
2.83203125,-61,NaN
2.8359375,-105,NaN
2.83984375,-76,NaN
2.84375,-73,NaN
2.84765625,35,NaN
2.8515625,72,NaN
2.85546875,16,NaN
2.859375,3,NaN
2.86328125,1,NaN
2.8671875,-15,NaN
2.87109375,2,NaN
2.875,35,NaN
2.87890625,26,NaN
2.8828125,-30,NaN
2.88671875,36,NaN
2.890625,131,NaN
2.89453125,108,NaN
2.8984375,52,NaN
2.90234375,58,NaN
2.90625,-35,NaN
2.91015625,-47,NaN
2.9140625,-16,NaN
2.91796875,-40,NaN
2.921875,-4,NaN
2.92578125,-49,NaN
2.9296875,26,NaN
2.93359375,73,NaN
2.9375,34,NaN
2.94140625,69,NaN
2.9453125,134,NaN
2.94921875,57,NaN
2.953125,21,NaN
2.95703125,44,NaN
2.9609375,-68,NaN
2.96484375,-144,NaN
2.96875,-12,NaN
2.97265625,68,NaN
2.9765625,156,NaN
2.98046875,230,NaN
2.984375,244,NaN
2.98828125,104,NaN
2.9921875,5,NaN
2.99609375,-71,NaN
3,-158,NaN
3.00390625,-140,NaN
3.0078125,58,NaN
3.01171875,264,NaN
3.015625,285,NaN
3.01953125,329,NaN
3.0234375,149,NaN
3.02734375,-16,NaN
3.03125,-91,NaN
3.03515625,-109,NaN
3.0390625,-16,NaN
3.04296875,33,NaN
3.046875,132,NaN
3.05078125,187,NaN
3.0546875,174,NaN
3.05859375,112,NaN
3.0625,36,NaN
3.06640625,-63,NaN
3.0703125,-60,NaN
3.07421875,-84,NaN
3.078125,-6,NaN
3.08203125,60,NaN
3.0859375,88,NaN
3.08984375,100,NaN
3.09375,13,NaN
3.09765625,-26,NaN
3.1015625,-50,NaN
3.10546875,-54,NaN
3.109375,-85,NaN
3.11328125,-105,NaN
3.1171875,-108,NaN
3.12109375,-25,NaN
3.125,66,NaN
3.12890625,219,NaN
3.1328125,204,NaN
3.13671875,98,NaN
3.140625,65,NaN
3.14453125,-28,NaN
3.1484375,37,NaN
3.15234375,120,NaN
3.15625,33,NaN
3.16015625,-11,NaN
3.1640625,-51,NaN
3.16796875,-66,NaN
3.171875,75,NaN
3.17578125,177,NaN
3.1796875,87,NaN
3.18359375,43,NaN
3.1875,-27,NaN
3.19140625,-77,NaN
3.1953125,100,NaN
3.19921875,197,NaN
3.203125,266,NaN
3.20703125,185,NaN
3.2109375,69,NaN
3.21484375,7,NaN
3.21875,-8,NaN
3.22265625,-26,NaN
3.2265625,83,NaN
3.23046875,136,NaN
3.234375,99,NaN
3.23828125,104,NaN
3.2421875,117,NaN
3.24609375,37,NaN
3.25,73,NaN
3.25390625,102,NaN
3.2578125,109,NaN
3.26171875,-13,NaN
3.265625,-45,NaN
3.26953125,-12,NaN
3.2734375,-61,NaN
3.27734375,27,NaN
3.28125,75,NaN
3.28515625,63,NaN
3.2890625,22,NaN
3.29296875,35,NaN
3.296875,11,NaN
3.30078125,-32,NaN
3.3046875,-67,NaN
3.30859375,-61,NaN
3.3125,-2,NaN
3.31640625,-16,NaN
3.3203125,-2,NaN
3.32421875,-25,NaN
3.328125,-109,NaN
3.33203125,-75,NaN
3.3359375,-48,NaN
3.33984375,-43,NaN
3.34375,31,NaN
3.34765625,48,NaN
3.3515625,6,NaN
3.35546875,-41,NaN
3.359375,-64,NaN
3.36328125,-97,NaN
3.3671875,-82,NaN
3.37109375,-27,NaN
3.375,-93,NaN
3.37890625,-145,NaN
3.3828125,-127,NaN
3.38671875,-148,NaN
3.390625,-81,NaN
3.39453125,-13,NaN
3.3984375,-22,NaN
3.40234375,-87,NaN
3.40625,-6,NaN
3.41015625,-68,NaN
3.4140625,-59,NaN
3.41796875,-78,NaN
3.421875,-167,NaN
3.42578125,-79,NaN
3.4296875,-33,NaN
3.43359375,40,NaN
3.4375,99,NaN
3.44140625,105,NaN
3.4453125,50,NaN
3.44921875,-49,NaN
3.453125,-62,NaN
3.45703125,-99,NaN
3.4609375,-44,NaN
3.46484375,25,NaN
3.46875,3,NaN
3.47265625,3,NaN
3.4765625,-122,NaN
3.48046875,-237,NaN
3.484375,-190,NaN
3.48828125,-153,NaN
3.4921875,-49,NaN
3.49609375,99,NaN
3.5,54,NaN
3.50390625,-15,NaN
3.5078125,-24,NaN
3.51171875,-124,NaN
3.515625,-133,NaN
3.51953125,-125,NaN
3.5234375,-204,NaN
3.52734375,-198,NaN
3.53125,-160,NaN
3.53515625,-117,NaN
3.5390625,-79,NaN
3.54296875,-41,NaN
3.546875,27,NaN
3.55078125,31,NaN
3.5546875,1,NaN
3.55859375,-45,NaN
3.5625,-82,NaN
3.56640625,-210,NaN
3.5703125,-93,NaN
3.57421875,0,NaN
3.578125,-19,NaN
3.58203125,79,NaN
3.5859375,62,NaN
3.58984375,-41,NaN
3.59375,-77,NaN
3.59765625,-96,NaN
3.6015625,-54,NaN
3.60546875,-42,NaN
3.609375,10,NaN
3.61328125,31,NaN
3.6171875,54,NaN
3.62109375,6,NaN
3.625,-2,NaN
3.62890625,-31,NaN
3.6328125,-18,NaN
3.63671875,-23,NaN
3.640625,-54,NaN
3.64453125,-5,NaN
3.6484375,-31,NaN
3.65234375,51,NaN
3.65625,76,NaN
3.66015625,17,NaN
3.6640625,-18,NaN
3.66796875,-151,NaN
3.671875,-162,NaN
3.67578125,2,NaN
3.6796875,25,NaN
3.68359375,113,NaN
3.6875,213,NaN
3.69140625,104,NaN
3.6953125,27,NaN
3.69921875,-37,NaN
3.703125,-94,NaN
3.70703125,-142,NaN
3.7109375,-124,NaN
3.71484375,8,NaN
3.71875,51,NaN
3.72265625,95,NaN
3.7265625,141,NaN
3.73046875,109,NaN
3.734375,31,NaN
3.73828125,38,NaN
3.7421875,-28,NaN
3.74609375,-73,NaN
3.75,-87,NaN
3.75390625,-146,NaN
3.7578125,-23,NaN
3.76171875,75,NaN
3.765625,155,NaN
3.76953125,182,NaN
3.7734375,205,NaN
3.77734375,-9,NaN
3.78125,-89,NaN
3.78515625,74,NaN
3.7890625,-1,NaN
3.79296875,34,NaN
3.796875,160,NaN
3.80078125,-15,NaN
3.8046875,-51,NaN
3.80859375,-9,NaN
3.8125,69,NaN
3.81640625,127,NaN
3.8203125,66,NaN
3.82421875,-82,NaN
3.828125,-223,NaN
3.83203125,-199,NaN
3.8359375,-75,NaN
3.83984375,12,NaN
3.84375,28,NaN
3.84765625,-67,NaN
3.8515625,-192,NaN
3.85546875,-70,NaN
3.859375,57,NaN
3.86328125,67,NaN
3.8671875,49,NaN
3.87109375,18,NaN
3.875,-85,NaN
3.87890625,-94,NaN
3.8828125,26,NaN
3.88671875,21,NaN
3.890625,49,NaN
3.89453125,92,NaN
3.8984375,13,NaN
3.90234375,-49,NaN
3.90625,-51,NaN
3.91015625,-51,NaN
3.9140625,-63,NaN
3.91796875,-87,NaN
3.921875,-122,NaN
3.92578125,-112,NaN
3.9296875,-19,NaN
3.93359375,31,NaN
3.9375,4,NaN
3.94140625,0,NaN
3.9453125,-43,NaN
3.94921875,-51,NaN
3.953125,-38,NaN
3.95703125,-69,NaN
3.9609375,-100,NaN
3.96484375,30,NaN
3.96875,94,NaN
3.97265625,16,NaN
3.9765625,-48,NaN
3.98046875,-136,NaN
3.984375,-294,NaN
3.98828125,-153,NaN
3.9921875,21,NaN
3.99609375,-89,NaN
4,95,NaN
4.00390625,3,NaN
4.0078125,-72,NaN
4.01171875,72,NaN
4.015625,62,NaN
4.01953125,11,NaN
4.0234375,-61,NaN
4.02734375,-67,NaN
4.03125,-132,NaN
4.03515625,-58,NaN
4.0390625,36,NaN
4.04296875,44,NaN
4.046875,-17,NaN
4.05078125,0,NaN
4.0546875,0,NaN
4.05859375,-19,NaN
4.0625,23,NaN
4.06640625,74,NaN
4.0703125,19,NaN
4.07421875,70,NaN
4.078125,61,NaN
4.08203125,-33,NaN
4.0859375,-24,NaN
4.08984375,-73,NaN
4.09375,-169,NaN
4.09765625,42,NaN
4.1015625,17,NaN
4.10546875,0,NaN
4.109375,50,NaN
4.11328125,-101,NaN
4.1171875,-113,NaN
4.12109375,-80,NaN
4.125,-13,NaN
4.12890625,82,NaN
4.1328125,111,NaN
4.13671875,86,NaN
4.140625,62,NaN
4.14453125,4,NaN
4.1484375,-31,NaN
4.15234375,-48,NaN
4.15625,-118,NaN
4.16015625,-82,NaN
4.1640625,-24,NaN
4.16796875,116,NaN
4.171875,105,NaN
4.17578125,155,NaN
4.1796875,137,NaN
4.18359375,73,NaN
4.1875,51,NaN
4.19140625,7,NaN
4.1953125,26,NaN
4.19921875,-26,NaN
4.203125,-28,NaN
4.20703125,-13,NaN
4.2109375,-123,NaN
4.21484375,-25,NaN
4.21875,-10,NaN
4.22265625,75,NaN
4.2265625,46,NaN
4.23046875,17,NaN
4.234375,-2,NaN
4.23828125,-101,NaN
4.2421875,76,NaN
4.24609375,95,NaN
4.25,133,NaN
4.25390625,122,NaN
4.2578125,-93,NaN
4.26171875,-14,NaN
4.265625,-48,NaN
4.26953125,-30,NaN
4.2734375,100,NaN
4.27734375,101,NaN
4.28125,92,NaN
4.28515625,64,NaN
4.2890625,43,NaN
4.29296875,-81,NaN
4.296875,-145,NaN
4.30078125,-84,NaN
4.3046875,-114,NaN
4.30859375,5,NaN
4.3125,170,NaN
4.31640625,237,NaN
4.3203125,196,NaN
4.32421875,108,NaN
4.328125,-5,NaN
4.33203125,-96,NaN
4.3359375,-4,NaN
4.33984375,183,NaN
4.34375,183,NaN
4.34765625,122,NaN
4.3515625,152,NaN
4.35546875,39,NaN
4.359375,9,NaN
4.36328125,168,NaN
4.3671875,116,NaN
4.37109375,105,NaN
4.375,80,NaN
4.37890625,44,NaN
4.3828125,62,NaN
4.38671875,75,NaN
4.390625,116,NaN
4.39453125,86,NaN
4.3984375,45,NaN
4.40234375,9,NaN
4.40625,-4,NaN
4.41015625,-104,NaN
4.4140625,-12,NaN
4.41796875,74,NaN
4.421875,126,NaN
4.42578125,167,NaN
4.4296875,158,NaN
4.43359375,-69,NaN
4.4375,-167,NaN
4.44140625,-248,NaN
4.4453125,-124,NaN
4.44921875,100,NaN
4.453125,89,NaN
4.45703125,159,NaN
4.4609375,81,NaN
4.46484375,4,NaN
4.46875,-44,NaN
